city_key,country_key,city,country,latitude,longitude,status,source,geoname_id,match_name,notes
coimbatore,india,Coimbatore,India,11.00555,76.96612,resolved,GeoNames cities500,1273865,Coimbatore,canonical/ascii match
colombo,sri lanka,Colombo,Sri Lanka,6.93548,79.84868,resolved,GeoNames cities500,1248991,Colombo,canonical/ascii match
copenhagen,denmark,Copenhagen,Denmark,55.67594,12.56553,resolved,GeoNames cities500,2618425,Copenhagen,canonical/ascii match
cottbus,germany,Cottbus,Germany,51.75769,14.32888,resolved,GeoNames cities500,2939811,Cottbus,canonical/ascii match
dallas,united states,Dallas,United States,32.78306,-96.80667,resolved,GeoNames cities500,4684888,Dallas,canonical/ascii match
dammarie-les-lys,france,Dammarie-les-Lys,France,48.51667,2.65,resolved,GeoNames cities500,3021852,Dammarie-les-Lys,canonical/ascii match
darmstadt,germany,Darmstadt,Germany,49.87167,8.65027,resolved,GeoNames cities500,2938913,Darmstadt,canonical/ascii match
deggendorf,germany,Deggendorf,Germany,48.84085,12.96068,resolved,GeoNames cities500,2938540,Deggendorf,canonical/ascii match
dehra dūn,india,Dehra Dūn,India,30.32443,78.03392,resolved,GeoNames cities500,1273313,Dehradun,unambiguous alternate-name match
delhi,india,Delhi,India,28.65195,77.23149,resolved,GeoNames cities500,1273294,Delhi,canonical/ascii match
dera ghazi khan,pakistan,Dera Ghazi Khan,Pakistan,30.04587,70.64029,resolved,GeoNames cities500,1180289,Dera Ghazi Khan,canonical/ascii match
dhaka,bangladesh,Dhaka,Bangladesh,23.7104,90.40744,resolved,GeoNames cities500,1185241,Dhaka,canonical/ascii match
diepenbeek,belgium,Diepenbeek,Belgium,50.90769,5.41875,resolved,GeoNames cities500,2799412,Diepenbeek,canonical/ascii match
doha,qatar,Doha,Qatar,25.28545,51.53096,resolved,GeoNames cities500,290030,Doha,canonical/ascii match
dortmund,germany,Dortmund,Germany,51.51494,7.466,resolved,GeoNames cities500,2935517,Dortmund,canonical/ascii match
dresden,germany,Dresden,Germany,51.05089,13.73832,resolved,GeoNames cities500,2935022,Dresden,canonical/ascii match
dubai,uae,Dubai,UAE,25.07725,55.30927,resolved,GeoNames cities500,292223,Dubai,canonical/ascii match
dubai,united arab emirates,Dubai,United Arab Emirates,25.07725,55.30927,resolved,GeoNames cities500,292223,Dubai,canonical/ascii match
dublin,united states of america,Dublin,United States of America,37.70215,-121.93579,resolved,GeoNames cities500,5344157,Dublin,canonical/ascii match
durham,united states of america,Durham,United States of America,35.99403,-78.89862,resolved,GeoNames cities500,4464368,Durham,canonical/ascii match
eindhoven,the netherlands,Eindhoven,The Netherlands,51.44083,5.47778,resolved,GeoNames cities500,2756253,Eindhoven,canonical/ascii match
erlangen,germany,Erlangen,Germany,49.59099,11.00783,resolved,GeoNames cities500,2929567,Erlangen,canonical/ascii match
erode,india,Erode,India,11.3428,77.72741,resolved,GeoNames cities500,1272013,Erode,canonical/ascii match
espoo,finland,Espoo,Finland,60.2052,24.6522,resolved,GeoNames cities500,660158,Espoo,canonical/ascii match
faisalabad,pakistan,Faisalabad,Pakistan,31.41554,73.08969,resolved,GeoNames cities500,1179400,Faisalabad,canonical/ascii match
fes,mroco,fes,mroco,34.03313,-5.00028,resolved,GeoNames cities500,2548885,Fes,canonical/ascii match
fezna,morocco,Fezna,Morocco,31.52921,-4.45562,resolved,GeoNames cities500,2548869,Fezna,canonical/ascii match
fremont,united states,Fremont,United States,37.54827,-121.98857,resolved,GeoNames cities500,5350734,Fremont,canonical/ascii match
fremont,united states of america,Fremont,United States of America,37.54827,-121.98857,resolved,GeoNames cities500,5350734,Fremont,canonical/ascii match
gadag-betageri,india,Gadag-Betageri,India,15.4167,75.6167,resolved,GeoNames cities500,8740017,Gadag-Betageri,canonical/ascii match
gainesville,united states,Gainesville,United States,29.65163,-82.32483,resolved,GeoNames cities500,4156404,Gainesville,canonical/ascii match
gaithersburg,united states,Gaithersburg,United States,39.14344,-77.20137,resolved,GeoNames cities500,4355843,Gaithersburg,canonical/ascii match
gent,belgium,Gent,Belgium,51.05,3.71667,resolved,GeoNames cities500,2797656,Gent,canonical/ascii match
ghaziabad,india,Ghaziabad,India,28.66535,77.43915,resolved,GeoNames cities500,1271308,Ghāziābād,canonical/ascii match
giessen,germany,Giessen,Germany,50.58727,8.67554,resolved,GeoNames cities500,2920512,Gießen,canonical/ascii match
gif-sur-yvette,france,Gif-sur-Yvette,France,48.68333,2.13333,resolved,GeoNames cities500,3016078,Gif-sur-Yvette,canonical/ascii match
giza,egypt,Giza,Egypt,30.00944,31.20861,resolved,GeoNames cities500,360995,Giza,canonical/ascii match
"granville, oh",united states of america,"Granville, OH",United States of America,40.06812,-82.5196,resolved,GeoNames cities500,5156270,Granville,canonical/ascii match constrained to admin1=OH
guanajuato,mexico,Guanajuato,Mexico,21.01858,-101.2591,resolved,GeoNames cities500,4005270,Guanajuato,canonical/ascii match
gujranwala,pakistan,Gujranwala,Pakistan,32.15567,74.18705,resolved,GeoNames cities500,1177662,Gujranwala,canonical/ascii match
guttenberg,united states of america,Guttenberg,United States of America,40.79205,-74.00375,resolved,GeoNames cities500,5098698,Guttenberg,canonical/ascii match
gwalior,india,Gwalior,India,26.22983,78.17337,resolved,GeoNames cities500,1270583,Gwalior,canonical/ascii match
hagen,germany,Hagen,Germany,51.36081,7.47168,resolved,GeoNames cities500,2912621,Hagen,canonical/ascii match
hamburg,germany,Hamburg,Germany,53.55073,9.99302,resolved,GeoNames cities500,2911298,Hamburg,canonical/ascii match
hamilton,canada,Hamilton,Canada,43.25011,-79.84963,resolved,GeoNames cities500,5969782,Hamilton,canonical/ascii match
